# Rosenbrock optimization failure log
# Init_X      Init_Y      Final_X     Final_Y     Solver_Type
1.797980e+00 6.565657e-01 -4.935153e+92 3.453219e+06 Standard
1.797980e+00 1.505051e+00 1.612845e+137 1.084145e+10 Standard
1.838384e+00 -7.979798e-01 -7.155106e+139 1.858829e+10 Standard
1.838384e+00 -7.575758e-01 4.348186e+133 4.385126e+09 Standard
1.838384e+00 -4.747475e-01 -3.006318e+120 4.063997e+08 Standard
1.838384e+00 7.777778e-01 -2.979637e+164 5.677789e+03 Standard
1.838384e+00 9.797980e-01 -5.222782e+158 4.100604e+03 Standard
1.878788e+00 -6.767677e-01 1.491452e+104 2.448719e+07 Standard
1.878788e+00 -3.939394e-01 4.641632e+173 9.547118e+03 Standard
1.878788e+00 8.989899e-01 -6.862034e+200 4.462968e+04 Standard
1.878788e+00 2.191919e+00 -9.420792e+169 7.752491e+03 Standard
1.919192e+00 -5.959596e-01 -1.440315e+126 1.029567e+09 Standard
1.919192e+00 1.060606e+00 5.409748e+129 2.013146e+09 Standard
1.959596e+00 -8.383838e-01 5.092512e+97 8.165116e+06 Standard
1.959596e+00 -5.151515e-01 -1.878104e+164 5.611534e+03 Standard
1.959596e+00 -4.747475e-01 3.865063e+127 1.329577e+09 Standard
1.959596e+00 -1.919192e-01 -1.454319e+100 1.243404e+07 Standard
1.959596e+00 1.181818e+00 -1.033834e+147 3.303799e+10 Standard
2.000000e+00 -3.939394e-01 3.990446e+108 5.276407e+07 Standard
2.000000e+00 1.303030e+00 -5.333202e+222 1.547961e+05 Standard
2.000000e+00 1.343434e+00 -5.352882e+85 1.054488e+06 Standard
