# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
0.0769231 0.811721 0.811734 2.74381 2.74445 -22.7795 -22.7805 -0.181475 -0.181482
0.083612 0.829561 0.829578 2.58972 2.59036 -23.2863 -23.2881 -0.175985 -0.175992
0.090301 0.846359 0.84638 2.43237 2.43299 -23.756 -23.7587 -0.170379 -0.170386
0.09699 0.862094 0.86212 2.272 2.2726 -24.1878 -24.1914 -0.164665 -0.164671
0.103679 0.876747 0.876777 2.10887 2.10944 -24.5812 -24.5855 -0.158849 -0.158855
0.110368 0.890301 0.890334 1.94324 1.94378 -24.9354 -24.9405 -0.152938 -0.152944
0.117057 0.902739 0.902776 1.77537 1.77588 -25.25 -25.2559 -0.146941 -0.146947
0.123746 0.914047 0.914087 1.60554 1.606 -25.5247 -25.5313 -0.140864 -0.140869
0.130435 0.924214 0.924257 1.434 1.43441 -25.7589 -25.7662 -0.134715 -0.13472
0.137124 0.933228 0.933274 1.26103 1.26139 -25.9525 -25.9604 -0.128502 -0.128507
0.143813 0.941081 0.941129 1.0869 1.08721 -26.1052 -26.1138 -0.122233 -0.122238
0.150502 0.947767 0.947816 0.911885 0.912136 -26.217 -26.226 -0.115915 -0.11592
0.157191 0.953279 0.95333 0.736262 0.73645 -26.2877 -26.2972 -0.109557 -0.109561
0.16388 0.957615 0.957668 0.560302 0.560426 -26.3174 -26.3273 -0.103165 -0.103169
0.170569 0.960775 0.960827 0.384281 0.384337 -26.3062 -26.3164 -0.0967484 -0.0967516
0.177258 0.962757 0.96281 0.208471 0.208458 -26.2543 -26.2647 -0.0903145 -0.0903174
0.183946 0.963565 0.963617 0.0331435 0.0330607 -26.1619 -26.1724 -0.0838713 -0.0838739
0.190635 0.963202 0.963254 -0.141431 -0.141585 -26.0293 -26.0399 -0.0774266 -0.0774289
0.197324 0.961675 0.961725 -0.314987 -0.31521 -25.8571 -25.8676 -0.0709882 -0.0709901
0.204013 0.958991 0.95904 -0.487258 -0.487551 -25.6455 -25.6559 -0.064564 -0.0645655
0.210702 0.95516 0.955206 -0.657984 -0.658346 -25.3952 -25.4053 -0.0581615 -0.0581627
0.217391 0.950192 0.950236 -0.826908 -0.827337 -25.1068 -25.1166 -0.0517884 -0.0517893
0.22408 0.944102 0.944143 -0.993778 -0.99427 -24.781 -24.7903 -0.0454524 -0.045453
0.230769 0.936903 0.93694 -1.15835 -1.1589 -24.4185 -24.4272 -0.0391608 -0.0391612
0.237458 0.928611 0.928645 -1.32037 -1.32098 -24.02 -24.0282 -0.032921 -0.0329211
0.244147 0.919245 0.919275 -1.47961 -1.48027 -23.5866 -23.594 -0.0267403 -0.0267402
0.250836 0.908824 0.908849 -1.63583 -1.63654 -23.119 -23.1256 -0.0206258 -0.0206255
0.257525 0.897369 0.897388 -1.78882 -1.78957 -22.6184 -22.6241 -0.0145844 -0.014584
0.264214 0.884901 0.884916 -1.93835 -1.93913 -22.0856 -22.0904 -0.00862308 -0.00862257
0.270903 0.871446 0.871455 -2.08421 -2.08502 -21.522 -21.5257 -0.00274847 -0.00274787
0.277592 0.857027 0.857031 -2.2262 -2.22703 -20.9285 -20.9312 0.0030329 0.00303355
0.284281 0.841673 0.841671 -2.36412 -2.36497 -20.3063 -20.3079 0.00871469 0.00871534
0.29097 0.82541 0.825402 -2.49779 -2.49865 -19.6568 -19.6573 0.0142907 0.0142913
0.297659 0.808267 0.808254 -2.62703 -2.62789 -18.9812 -18.9805 0.019755 0.0197555
0.304348 0.790276 0.790257 -2.75167 -2.75251 -18.2808 -18.2788 0.0251018 0.0251022
0.311037 0.771466 0.771442 -2.87154 -2.87237 -17.5569 -17.5538 0.0303254 0.0303257
0.317726 0.751872 0.751841 -2.98649 -2.9873 -16.8111 -16.8067 0.0354206 0.0354207
0.324415 0.731525 0.731489 -3.09639 -3.09716 -16.0446 -16.0391 0.0403822 0.0403821
0.331104 0.71046 0.710419 -3.20109 -3.20183 -15.259 -15.2523 0.0452053 0.045205
0.337793 0.688712 0.688667 -3.30048 -3.30117 -14.4557 -14.4479 0.0498852 0.0498845
0.344482 0.666318 0.666269 -3.39445 -3.39507 -13.6362 -13.6274 0.0544174 0.0544165
0.351171 0.643314 0.643261 -3.48288 -3.48344 -12.8021 -12.7922 0.0587978 0.0587965
0.35786 0.619737 0.61968 -3.56568 -3.56618 -11.9549 -11.944 0.0630224 0.0630207
0.364548 0.595625 0.595565 -3.64278 -3.6432 -11.096 -11.0844 0.0670874 0.0670853
0.371237 0.571017 0.570955 -3.7141 -3.71444 -10.2272 -10.2148 0.0709895 0.070987
0.377926 0.545952 0.545887 -3.77958 -3.77983 -9.34992 -9.33682 0.0747254 0.0747225
0.384615 0.520467 0.520401 -3.83917 -3.83933 -8.46575 -8.4521 0.0782922 0.0782889
0.391304 0.494605 0.494538 -3.89282 -3.89289 -7.57626 -7.56219 0.0816873 0.0816835
0.397993 0.468403 0.468336 -3.94051 -3.94049 -6.68303 -6.66865 0.0849083 0.084904
0.404682 0.441902 0.441836 -3.98222 -3.9821 -5.7876 -5.77305 0.0879529 0.0879482
0.411371 0.415142 0.415077 -4.01794 -4.01772 -4.89153 -4.87694 0.0908194 0.0908143
0.41806 0.388164 0.3881 -4.04766 -4.04735 -3.99636 -3.98188 0.0935062 0.0935006
0.424749 0.361006 0.360945 -4.07141 -4.071 -3.10361 -3.08938 0.0960119 0.0960059
0.431438 0.33371 0.333652 -4.08919 -4.08869 -2.21479 -2.20096 0.0983354 0.098329
0.438127 0.306315 0.30626 -4.10105 -4.10045 -1.33139 -1.3181 0.100476 0.100469
0.444816 0.27886 0.278809 -4.10702 -4.10634 -0.45487 -0.442261 0.102433 0.102426
0.451505 0.251384 0.251339 -4.10715 -4.10639 0.413335 0.425121 0.104207 0.104199
0.458194 0.223927 0.223887 -4.10151 -4.10067 1.27181 1.28264 0.105796 0.105788
0.464883 0.196527 0.196493 -4.09016 -4.08925 2.11919 2.12892 0.107202 0.107194
0.471572 0.169222 0.169194 -4.07319 -4.07222 2.95411 2.96263 0.108425 0.108417
0.478261 0.142049 0.142028 -4.05067 -4.04965 3.77527 3.78247 0.109466 0.109458
0.48495 0.115044 0.11503 -4.02272 -4.02165 4.5814 4.58717 0.110326 0.110318
0.491639 0.0882451 0.0882382 -3.98942 -3.98832 5.37127 5.37551 0.111006 0.110997
